league,season,game,date,home_team,away_team,B365H,B365D,B365A,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA
ENG-Premier League,2223,2023-03-18 Chelsea-Everton,2023-03-18 17:30:00,Chelsea,Everton,1.5,4.2,7.5,1.47,4.0,7.5,1.54,4.34,8.2,1.49,4.18,7.62,0.6539624571921884,0.22639591016808766,0.11964163264016879
ENG-Premier League,2223,2023-03-18 Southampton-Tottenham,2023-03-18 15:00:00,Southampton,Tottenham,4.75,3.6,1.75,4.5,3.5,1.8,4.75,3.85,1.88,4.56,3.68,1.82,0.20708359320529035,0.2589767952053097,0.5339396115889324
ENG-Premier League,2223,2023-03-18 Wolves-Leeds United,2023-03-18 15:00:00,Wolves,Leeds United,2.25,3.2,3.3,2.25,3.2,3.25,2.35,3.42,3.56,2.28,3.23,3.41,0.4238466021479989,0.29616289555250686,0.27999050229902317
ENG-Premier League,2223,2023-03-19 Arsenal-Crystal Palace,2023-03-19 14:00:00,Arsenal,Crystal Palace,1.25,5.5,15.0,1.24,5.5,15.0,1.29,6.42,15.5,1.26,5.93,12.83,0.7758301203533763,0.15682009245420683,0.06734978719278785
ENG-Premier League,2223,2023-04-01 Arsenal-Leeds United,2023-04-01 15:00:00,Arsenal,Leeds United,1.29,6.0,9.0,1.27,5.5,11.0,1.31,6.25,12.0,1.29,5.84,10.48,0.7568603071239789,0.15897242373022596,0.08416726914621281
ENG-Premier League,2223,2023-04-01 Bournemouth-Fulham,2023-04-01 15:00:00,Bournemouth,Fulham,2.55,3.3,2.8,2.55,3.25,2.75,2.63,3.52,2.92,2.56,3.34,2.84,0.3761282967201672,0.285856639824565,0.3380150634548144
ENG-Premier League,2223,2023-04-01 Brighton-Brentford,2023-04-01 15:00:00,Brighton,Brentford,1.67,4.0,5.0,1.65,3.9,5.0,1.72,4.33,5.25,1.67,4.08,5.05,0.5822444800835394,0.23215719010252853,0.18559832981438432
ENG-Premier League,2223,2023-04-01 Chelsea-Aston Villa,2023-04-01 17:30:00,Chelsea,Aston Villa,1.67,3.8,5.25,1.67,3.7,5.25,1.74,4.0,5.75,1.68,3.83,5.4,0.578870527165253,0.24810586372241197,0.1730236091118937
ENG-Premier League,2223,2023-04-01 Crystal Palace-Leicester City,2023-04-01 15:00:00,Crystal Palace,Leicester City,2.5,3.25,2.9,2.5,3.2,2.88,2.62,3.4,3.05,2.54,3.24,2.94,0.37905668568890916,0.29489121518711175,0.3260520991235197
ENG-Premier League,2223,2023-04-01 Manchester City-Liverpool,2023-04-01 12:30:00,Manchester City,Liverpool,1.62,4.2,5.0,1.62,4.0,5.25,1.7,4.4,5.5,1.64,4.2,5.19,0.5936330883397518,0.22564883964595803,0.180718072014717
ENG-Premier League,2223,2023-04-01 Nott'ham Forest-Wolves,2023-04-01 15:00:00,Nott'ham Forest,Wolves,3.0,3.1,2.55,2.88,3.1,2.55,3.15,3.3,2.7,2.96,3.13,2.61,0.3244375550079591,0.306273230212672,0.3692892147798205
ENG-Premier League,2223,2023-04-02 Newcastle Utd-Manchester Utd,2023-04-02 16:30:00,Newcastle Utd,Manchester Utd,2.4,3.4,2.9,2.38,3.4,2.88,2.49,3.62,3.11,2.41,3.45,2.96,0.40001887194993313,0.27625482786568784,0.32372630018391774
ENG-Premier League,2223,2023-04-02 West Ham-Southampton,2023-04-02 14:00:00,West Ham,Southampton,1.73,3.6,5.0,1.73,3.6,5.0,1.8,4.0,5.1,1.76,3.74,4.87,0.5523269987984655,0.2545273074368879,0.19314569376511476
ENG-Premier League,2223,2023-04-03 Everton-Tottenham,2023-04-03 20:00:00,Everton,Tottenham,3.4,3.3,2.2,3.5,3.2,2.15,3.55,3.55,2.26,3.41,3.36,2.21,0.2793829971333776,0.2836992928326487,0.436917710033524
ENG-Premier League,2223,2023-04-04 Bournemouth-Brighton,2023-04-04 19:45:00,Bournemouth,Brighton,6.0,4.2,1.53,6.0,4.0,1.55,6.5,4.5,1.61,5.94,4.29,1.57,0.15725547909414062,0.2213402492114234,0.621404271693995
ENG-Premier League,2223,2023-04-04 Chelsea-Liverpool,2023-04-04 20:00:00,Chelsea,Liverpool,2.2,3.4,3.25,2.25,3.3,3.2,2.35,3.58,3.46,2.25,3.46,3.28,0.4307352379341495,0.2767784071835982,0.29248635488177427
ENG-Premier League,2223,2023-04-04 Leeds United-Nott'ham Forest,2023-04-04 19:45:00,Leeds United,Nott'ham Forest,1.7,3.75,5.0,1.73,3.6,5.0,1.75,4.1,5.5,1.73,3.83,5.05,0.5635289615327456,0.24946923609796276,0.18700180236883587
ENG-Premier League,2223,2023-04-04 Leicester City-Aston Villa,2023-04-04 19:45:00,Leicester City,Aston Villa,2.55,3.3,2.75,2.45,3.4,2.8,2.7,3.6,2.85,2.58,3.41,2.79,0.37410485179112907,0.2806823474202124,0.34521280078912786
ENG-Premier League,2223,2023-04-05 Manchester Utd-Brentford,2023-04-05 20:00:00,Manchester Utd,Brentford,1.65,4.0,5.0,1.63,4.0,5.0,1.71,4.4,5.3,1.65,4.17,5.07,0.5889634056544144,0.22656052448851072,0.1844760698566295
ENG-Premier League,2223,2023-04-05 West Ham-Newcastle Utd,2023-04-05 20:00:00,West Ham,Newcastle Utd,3.6,3.25,2.15,3.5,3.3,2.15,3.67,3.53,2.2,3.53,3.41,2.15,0.27005673833517374,0.27992098637453516,0.45002227528983835
ENG-Premier League,2223,2023-04-08 Aston Villa-Nott'ham Forest,2023-04-08 15:00:00,Aston Villa,Nott'ham Forest,1.6,4.2,5.25,1.6,3.8,5.8,1.65,4.3,6.0,1.62,4.09,5.55,0.6005190949875054,0.23154097762085152,0.16793992739208144
