game,date,home_team,away_team,FTHG,FTAG,H,D,A,PSH,PSD,PSA,pPSH,pPSD,pPSA
2019-11-10 Liverpool-Manchester City,2019-11-10 16:30:00,Liverpool,Manchester City,3,1,1,0,0,2.57,3.66,2.74,0.3796907995582672,0.2645972727195028,0.35571192772175125
2019-11-10 Manchester Utd-Brighton,2019-11-10 14:00:00,Manchester Utd,Brighton,3,1,1,0,0,1.7,3.66,5.98,0.5769356882319855,0.26413748157992195,0.15892683018764037
2019-11-10 Wolves-Aston Villa,2019-11-10 14:00:00,Wolves,Aston Villa,2,1,1,0,0,1.89,3.7,4.38,0.5185979528808401,0.26153300895663983,0.21986903816299475
2019-11-23 Arsenal-Southampton,2019-11-23 15:00:00,Arsenal,Southampton,2,2,0,1,0,1.49,4.72,6.86,0.6592201430406898,0.20318015042764834,0.13759970653212675
2019-11-23 Bournemouth-Wolves,2019-11-23 15:00:00,Bournemouth,Wolves,1,2,0,0,1,2.85,3.38,2.63,0.3418314283808395,0.2871819768688002,0.3709865947498842
2019-11-23 Brighton-Leicester City,2019-11-23 15:00:00,Brighton,Leicester City,0,2,0,0,1,3.73,3.58,2.09,0.25993873200502804,0.2710984774488005,0.4689627905456933
2019-11-23 Crystal Palace-Liverpool,2019-11-23 15:00:00,Crystal Palace,Liverpool,1,2,0,0,1,7.59,4.82,1.45,0.12365880813075122,0.1987792874981909,0.6775619043714975
2019-11-23 Everton-Norwich City,2019-11-23 15:00:00,Everton,Norwich City,0,2,0,0,1,1.41,5.18,7.85,0.6966601063047196,0.18423097221586385,0.1191089214789656
2019-11-23 Manchester City-Chelsea,2019-11-23 17:30:00,Manchester City,Chelsea,2,1,1,0,0,1.45,5.2,6.74,0.6769602930999903,0.18330813226539153,0.13973157463419023
2019-11-23 Watford-Burnley,2019-11-23 15:00:00,Watford,Burnley,0,3,0,0,1,2.39,3.35,3.22,0.4087346845513133,0.2896483140954913,0.3016170013536779
2019-11-23 West Ham-Tottenham,2019-11-23 12:30:00,West Ham,Tottenham,2,3,0,0,1,4.37,4.32,1.76,0.22013595418583595,0.22276507940928103,0.5570989664053554
2019-11-24 Sheffield Utd-Manchester Utd,2019-11-24 16:30:00,Sheffield Utd,Manchester Utd,3,3,0,1,0,3.65,3.37,2.19,0.2653269587760504,0.2879338308489494,0.4467392103754817
2019-11-25 Aston Villa-Newcastle Utd,2019-11-25 20:00:00,Aston Villa,Newcastle Utd,2,0,1,0,0,2.14,3.54,3.6,0.45725514144959517,0.2737101438331054,0.26903471471776846
2019-11-30 Burnley-Crystal Palace,2019-11-30 15:00:00,Burnley,Crystal Palace,0,2,0,0,1,2.36,3.33,3.31,0.4144852577687176,0.29185605809446186,0.2936586841363433
2019-11-30 Chelsea-West Ham,2019-11-30 15:00:00,Chelsea,West Ham,0,1,0,0,1,1.3,5.99,10.19,0.7542157102396891,0.1569378234224429,0.08884646633826439
2019-11-30 Liverpool-Brighton,2019-11-30 15:00:00,Liverpool,Brighton,2,1,1,0,0,1.2,7.08,17.22,0.818517159665743,0.131827333376826,0.04965550695783155
2019-11-30 Newcastle Utd-Manchester City,2019-11-30 12:30:00,Newcastle Utd,Manchester City,2,2,0,1,0,14.05,7.9,1.2,0.06298464975938653,0.11778925209145626,0.8192260981495648
2019-11-30 Southampton-Watford,2019-11-30 17:30:00,Southampton,Watford,2,1,1,0,0,2.15,3.51,3.62,0.45556372407225326,0.27651812396446707,0.26791815196375673
2019-11-30 Tottenham-Bournemouth,2019-11-30 15:00:00,Tottenham,Bournemouth,3,2,1,0,0,1.39,5.29,8.34,0.7073366570745587,0.18062419066784677,0.11203915225802555
2019-12-01 Leicester City-Everton,2019-12-01 16:30:00,Leicester City,Everton,2,1,1,0,0,1.64,4.19,5.58,0.5987238253570065,0.23015009841702957,0.1711260762264261
2019-12-01 Manchester Utd-Aston Villa,2019-12-01 16:30:00,Manchester Utd,Aston Villa,2,2,0,1,0,1.48,4.44,7.72,0.6630383261715554,0.215930939198179,0.12103073462983728
2019-12-01 Norwich City-Arsenal,2019-12-01 14:00:00,Norwich City,Arsenal,2,2,0,1,0,4.27,4.33,1.78,0.22593175470928833,0.2227090089740251,0.5513592363171508
2019-12-01 Wolves-Sheffield Utd,2019-12-01 14:00:00,Wolves,Sheffield Utd,1,1,0,1,0,1.93,3.52,4.46,0.5081705330891367,0.2756514848305461,0.21617798207984446
2019-12-03 Burnley-Manchester City,2019-12-03 20:15:00,Burnley,Manchester City,1,4,0,0,1,10.8,6.62,1.26,0.08255849474620076,0.14032024568020865,0.7771212595731789
2019-12-03 Crystal Palace-Bournemouth,2019-12-03 19:30:00,Crystal Palace,Bournemouth,1,0,1,0,0,2.27,3.41,3.42,0.43116324981605736,0.28484429460232386,0.28399245558115305
2019-12-04 Chelsea-Aston Villa,2019-12-04 19:30:00,Chelsea,Aston Villa,2,1,1,0,0,1.31,5.94,10.36,0.7510204963707646,0.16010393567817402,0.088875567951487
2019-12-04 Leicester City-Watford,2019-12-04 19:30:00,Leicester City,Watford,2,0,1,0,0,1.36,5.35,9.41,0.7230451511652167,0.1784736923491982,0.09848115648600529
2019-12-04 Liverpool-Everton,2019-12-04 20:15:00,Liverpool,Everton,5,2,1,0,0,1.4,5.13,8.29,0.7016099208158413,0.18603796467838474,0.11235211450534663
2019-12-04 Manchester Utd-Tottenham,2019-12-04 19:30:00,Manchester Utd,Tottenham,2,1,1,0,0,2.71,3.57,2.65,0.3600016386215783,0.27169658345288344,0.36830177792506946
2019-12-04 Southampton-Norwich City,2019-12-04 19:30:00,Southampton,Norwich City,2,1,1,0,0,1.79,4.09,4.41,0.5470988793665903,0.2352531324180766,0.21764798821487488
2019-12-04 Wolves-West Ham,2019-12-04 19:30:00,Wolves,West Ham,2,0,1,0,0,1.78,3.83,4.87,0.5508599932386927,0.25224676444496547,0.19689324231682065
2019-12-05 Arsenal-Brighton,2019-12-05 20:15:00,Arsenal,Brighton,1,2,0,0,1,1.63,4.2,5.68,0.6024322213039124,0.22957954929716068,0.167988229398464
2019-12-05 Sheffield Utd-Newcastle Utd,2019-12-05 19:30:00,Sheffield Utd,Newcastle Utd,0,2,0,0,1,1.87,3.56,4.75,0.5247835845003861,0.27255963749474027,0.20265677800441192
2019-12-07 Bournemouth-Liverpool,2019-12-07 15:00:00,Bournemouth,Liverpool,0,3,0,0,1,7.01,5.22,1.44,0.13452965630583696,0.1830649793166275,0.6824053643770767
2019-12-07 Everton-Chelsea,2019-12-07 12:30:00,Everton,Chelsea,3,1,1,0,0,3.59,3.95,2.03,0.27081961433129303,0.24558863735714656,0.48359174831107526
2019-12-07 Manchester City-Manchester Utd,2019-12-07 17:30:00,Manchester City,Manchester Utd,1,2,0,0,1,1.31,5.89,10.48,0.7508798743225754,0.1614266074830936,0.08769351819477444
2019-12-07 Tottenham-Burnley,2019-12-07 15:00:00,Tottenham,Burnley,5,0,1,0,0,1.41,4.93,8.39,0.6959909975329572,0.19346460444273697,0.1105443980238762
2019-12-07 Watford-Crystal Palace,2019-12-07 15:00:00,Watford,Crystal Palace,0,0,0,1,0,2.38,3.42,3.18,0.4106366861362181,0.28372243067411373,0.30564088319013843
2019-12-08 Aston Villa-Leicester City,2019-12-08 14:00:00,Aston Villa,Leicester City,1,4,0,0,1,4.38,3.92,1.84,0.22010696112117628,0.24671457565007668,0.5331784632292262
2019-12-08 Brighton-Wolves,2019-12-08 16:30:00,Brighton,Wolves,2,2,0,1,0,2.72,3.23,2.86,0.3585127871170881,0.30085126493221437,0.34063594795116464
2019-12-08 Newcastle Utd-Southampton,2019-12-08 14:00:00,Newcastle Utd,Southampton,2,1,1,0,0,2.64,3.3,2.9,0.3696641002730217,0.2944080794034341,0.33592782032401963
2019-12-08 Norwich City-Sheffield Utd,2019-12-08 14:00:00,Norwich City,Sheffield Utd,1,2,0,0,1,3.04,3.51,2.42,0.3200123550483073,0.27626349343499507,0.4037241515171691
2019-12-09 West Ham-Arsenal,2019-12-09 20:00:00,West Ham,Arsenal,1,3,0,0,1,3.5,4.1,2.02,0.27783036481396906,0.23627919072216816,0.4858904444633821
2019-12-14 Burnley-Newcastle Utd,2019-12-14 15:00:00,Burnley,Newcastle Utd,1,0,1,0,0,1.94,3.62,4.28,0.5059243362464647,0.26819996113376793,0.22587570262024453
2019-12-14 Chelsea-Bournemouth,2019-12-14 15:00:00,Chelsea,Bournemouth,0,1,0,0,1,1.24,6.74,12.57,0.7910947038967878,0.13846762412534,0.0704376719782831
2019-12-14 Leicester City-Norwich City,2019-12-14 15:00:00,Leicester City,Norwich City,1,1,0,1,0,1.23,6.8,13.95,0.7987581777473655,0.13790698549531158,0.06333483675773918
2019-12-14 Liverpool-Watford,2019-12-14 12:30:00,Liverpool,Watford,2,0,1,0,0,1.18,7.93,16.56,0.8319461069503632,0.11645662776128118,0.05159726528803391
2019-12-14 Sheffield Utd-Aston Villa,2019-12-14 15:00:00,Sheffield Utd,Aston Villa,2,0,1,0,0,1.88,3.83,4.3,0.5221904330172297,0.2530811698399558,0.22472839714234916
2019-12-14 Southampton-West Ham,2019-12-14 17:30:00,Southampton,West Ham,0,1,0,0,1,1.94,3.95,3.87,0.5052990790800475,0.2447517227294848,0.24994919818999176
2019-12-15 Arsenal-Manchester City,2019-12-15 16:30:00,Arsenal,Manchester City,0,3,0,0,1,5.8,5.5,1.48,0.16370580803212814,0.1730344518225874,0.6632597401448161
2019-12-15 Manchester Utd-Everton,2019-12-15 14:00:00,Manchester Utd,Everton,1,1,0,1,0,1.8,3.73,4.87,0.5443708617316413,0.2589600058215797,0.19666913244723755
2019-12-15 Wolves-Tottenham,2019-12-15 14:00:00,Wolves,Tottenham,1,2,0,0,1,3.2,3.5,2.33,0.3035692345146212,0.2769674016382428,0.4194633638466546
2019-12-16 Crystal Palace-Brighton,2019-12-16 19:45:00,Crystal Palace,Brighton,1,1,0,1,0,2.58,3.28,2.98,0.3779361525895135,0.2957930374019312,0.3262708100090379
2019-12-21 Aston Villa-Southampton,2019-12-21 15:00:00,Aston Villa,Southampton,1,3,0,0,1,2.5,3.52,2.9,0.3899516136360427,0.27487516698887576,0.3351732193755531
2019-12-21 Bournemouth-Burnley,2019-12-21 15:00:00,Bournemouth,Burnley,0,1,0,0,1,2.5,3.36,3.01,0.3896324380292685,0.2880092793666795,0.32235828260451554
2019-12-21 Brighton-Sheffield Utd,2019-12-21 15:00:00,Brighton,Sheffield Utd,0,1,0,0,1,2.24,3.27,3.61,0.43593199142240846,0.2963292637570732,0.267738744820995
2019-12-21 Everton-Arsenal,2019-12-21 12:30:00,Everton,Arsenal,0,0,0,1,0,2.34,3.8,2.94,0.4164996335064466,0.25355670589287915,0.32994366060114216
2019-12-21 Manchester City-Leicester City,2019-12-21 17:30:00,Manchester City,Leicester City,3,1,1,0,0,1.38,5.46,8.01,0.7107084530839555,0.1735294515675159,0.11576209534894215
2019-12-21 Newcastle Utd-Crystal Palace,2019-12-21 15:00:00,Newcastle Utd,Crystal Palace,1,0,1,0,0,2.45,3.15,3.28,0.397507990378162,0.30748919017860665,0.29500281944275203
2019-12-21 Norwich City-Wolves,2019-12-21 15:00:00,Norwich City,Wolves,1,2,0,0,1,3.72,3.82,2.01,0.25995980744488084,0.2529727744150094,0.48706741814056986
2019-12-22 Tottenham-Chelsea,2019-12-22 16:30:00,Tottenham,Chelsea,0,2,0,0,1,2.41,3.67,2.92,0.4044462478876718,0.26304540445924157,0.33250834765260445
2019-12-22 Watford-Manchester Utd,2019-12-22 14:00:00,Watford,Manchester Utd,2,0,1,0,0,4.41,3.96,1.81,0.21708918219183487,0.2426469540705456,0.5402638637380865
2019-12-26 Aston Villa-Norwich City,2019-12-26 15:00:00,Aston Villa,Norwich City,1,0,1,0,0,2.14,3.84,3.31,0.45643529184219894,0.25108995754901353,0.2924747506092683
2019-12-26 Bournemouth-Arsenal,2019-12-26 15:00:00,Bournemouth,Arsenal,1,1,0,1,0,3.49,3.87,2.07,0.277578825882763,0.249642884547718,0.47277828956905765
2019-12-26 Chelsea-Southampton,2019-12-26 15:00:00,Chelsea,Southampton,0,2,0,0,1,1.36,5.3,9.12,0.7208558911958289,0.17870293207190338,0.10044117673182584
